Well_Name,2.0388886332511902E-4, 0.504653888870962, 1.0085455555235967, 1.5129927777452394, 2.016884444397874, 2.5199427777552046, 3.0255038888426498, 3.5299511110642925, 4.036064999992959, 4.539126111078076, 5.0424622222199105, 5.546076111088041, 6.050526111095678, 6.556642777752131, 7.0594372221967205, 7.561387222202029, 8.066392777720466, 8.571395555511117, 9.075289999949746, 9.580014999955893, 10.08612888888456, 10.591131666617002, 11.095855277730152, 11.601692222175188, 12.10558388888603, 12.611426944436971, 13.114485277736094, 13.620321944414172, 14.125324722204823, 14.631993333285209, 15.139776666648686, 15.644779444439337, 16.14922666666098, 16.65311555552762, 17.157562777749263, 17.662843333324417, 18.167568333330564, 18.6714599999832, 19.175351666635834, 19.680354444426484, 20.184801666648127, 20.689801666652784, 21.194804444443434, 21.700082222174387, 22.20702944439836, 22.71147666662, 23.216201666626148, 23.722034999984317, 24.227315555501264, 24.73342944442993, 25.238429444434587, 25.743987777736038, 26.25093499996001, 26.757601666613482, 27.26232666661963, 27.76732944441028, 28.27400166663574, 28.77817111107288, 29.283729444432538, 29.7890072222217, 30.29539888887666, 30.80067944439361, 31.307904444402084, 31.812348888837732, 32.318184999981895, 32.82235166663304, 33.3284655555035, 33.83291277772514, 34.3381905555143, 34.84347111108946, 35.350140555528924, 35.85625166661339, 36.36264333332656, 36.8665322221932, 37.37209055555286, 37.87653499998851, 38.379871111072134, 38.88376277772477, 39.38959611108294, 39.89709888887592, 40.40293222217588, 40.90821277775103, 41.41349333332619, 41.91960444441065, 42.424051666632295, 42.92877666663844, 43.434887777722906, 43.940446111082565, 44.44628222216852, 44.951837777742185, 45.456840555532835, 45.9623961111065, 46.46712111105444, 46.9723988888436, 47.478512777772266, 47.984901666641235, 48.488515555509366, 48.994348888867535, 49.499351666658185, 50.00601833331166, 50.51213222218212, 51.01713499997277, 51.52241277776193, 52.028248888847884, 52.53380444442155, 53.03825166664319, 53.543807222216856, 54.048532222164795, 54.55353222216945, 55.05909055552911, 55.56520444439957, 56.07020722219022, 56.57548499997938, 57.08048777777003, 57.585209999990184, 58.09021277772263, 58.59493499994278, 59.100215555517934, 59.605493333307095, 60.110501666611526, 60.61467111110687, 61.11967111105332, 61.62439611105947, 62.13023222220363, 62.63523222220829, 63.141901666647755, 63.64745722222142, 64.15245999995386, 64.65829611109802, 65.1649627777515, 
I07,0.081,0.085,0.081,0.082,0.082,0.082,0.085,0.084,0.087,0.09,0.091,0.093,0.097,0.104,0.109,0.115,0.122,0.128,0.14,0.153,0.168,0.19,0.211,0.237,0.269,0.303,0.338,0.384,0.426,0.488,0.542,0.62,0.688,0.727,0.732,0.759,0.769,0.769,0.776,0.771,0.782,0.783,0.788,0.785,0.788,0.784,0.79,0.788,0.799,0.8,0.793,0.802,0.808,0.808,0.813,0.804,0.817,0.813,0.813,0.813,0.82,0.819,0.822,0.823,0.827,0.816,0.826,0.82,0.826,0.825,0.832,0.833,0.834,0.836,0.844,0.845,0.846,0.845,0.851,0.848,0.85,0.862,0.861,0.865,0.862,0.868,0.863,0.872,0.873,0.875,0.883,0.884,0.883,0.886,0.88,0.891,0.891,0.898,0.897,0.9,0.909,0.903,0.911,0.904,0.91,0.92,0.919,0.917,0.926,0.932,0.937,0.931,0.943,0.941,0.942,0.941,0.944,0.952,0.947,0.96,0.963,0.949,0.961,0.964,0.962,0.961,0.966,0.971,0.959,0.961,
I08,0.081,0.077,0.078,0.078,0.077,0.078,0.079,0.08,0.081,0.082,0.084,0.085,0.088,0.09,0.093,0.098,0.103,0.107,0.115,0.12,0.132,0.141,0.155,0.168,0.188,0.207,0.242,0.263,0.299,0.326,0.383,0.428,0.452,0.472,0.494,0.5,0.512,0.516,0.522,0.529,0.527,0.529,0.532,0.533,0.54,0.554,0.558,0.559,0.552,0.553,0.567,0.557,0.557,0.563,0.565,0.576,0.573,0.573,0.576,0.576,0.583,0.581,0.585,0.589,0.593,0.601,0.593,0.607,0.611,0.613,0.617,0.619,0.613,0.625,0.619,0.623,0.624,0.635,0.63,0.64,0.643,0.639,0.638,0.643,0.642,0.648,0.66,0.655,0.656,0.659,0.661,0.665,0.666,0.667,0.681,0.67,0.675,0.676,0.679,0.681,0.686,0.682,0.687,0.704,0.692,0.697,0.699,0.709,0.702,0.703,0.703,0.715,0.708,0.708,0.72,0.709,0.723,0.714,0.724,0.719,0.718,0.727,0.72,0.72,0.72,0.722,0.723,0.725,0.734,0.738,
J07,0.078,0.079,0.074,0.076,0.076,0.076,0.079,0.08,0.081,0.084,0.084,0.088,0.09,0.094,0.098,0.105,0.119,0.117,0.127,0.136,0.152,0.164,0.181,0.206,0.23,0.256,0.295,0.324,0.365,0.402,0.462,0.51,0.529,0.54,0.564,0.567,0.572,0.573,0.578,0.581,0.586,0.589,0.595,0.594,0.599,0.603,0.605,0.607,0.606,0.609,0.613,0.611,0.617,0.618,0.624,0.628,0.628,0.626,0.632,0.634,0.639,0.639,0.643,0.647,0.652,0.655,0.655,0.663,0.669,0.669,0.672,0.675,0.672,0.679,0.68,0.685,0.687,0.697,0.698,0.7,0.703,0.705,0.706,0.707,0.711,0.716,0.719,0.717,0.72,0.721,0.725,0.725,0.73,0.732,0.738,0.74,0.741,0.744,0.746,0.751,0.754,0.754,0.755,0.764,0.762,0.766,0.767,0.772,0.77,0.773,0.776,0.779,0.78,0.78,0.788,0.781,0.785,0.783,0.788,0.786,0.79,0.791,0.789,0.791,0.787,0.789,0.791,0.795,0.801,0.803,
J08,0.085,0.084,0.085,0.081,0.084,0.086,0.086,0.091,0.093,0.093,0.095,0.108,0.108,0.107,0.114,0.12,0.13,0.149,0.162,0.166,0.193,0.206,0.229,0.251,0.28,0.316,0.364,0.39,0.451,0.491,0.567,0.608,0.614,0.627,0.657,0.647,0.649,0.656,0.661,0.674,0.669,0.67,0.67,0.669,0.674,0.688,0.69,0.692,0.684,0.681,0.7,0.688,0.686,0.694,0.693,0.708,0.702,0.698,0.703,0.699,0.709,0.705,0.71,0.712,0.714,0.727,0.716,0.734,0.737,0.743,0.742,0.748,0.734,0.752,0.744,0.747,0.751,0.765,0.752,0.769,0.772,0.761,0.764,0.77,0.771,0.772,0.788,0.776,0.781,0.779,0.784,0.786,0.793,0.797,0.81,0.799,0.802,0.808,0.805,0.813,0.815,0.816,0.812,0.836,0.823,0.826,0.823,0.842,0.829,0.832,0.83,0.851,0.84,0.84,0.859,0.843,0.862,0.845,0.866,0.853,0.86,0.868,0.857,0.858,0.859,0.862,0.858,0.865,0.877,0.882,
G07,0.117,0.109,0.107,0.111,0.112,0.115,0.123,0.127,0.133,0.147,0.157,0.169,0.187,0.213,0.24,0.269,0.303,0.334,0.373,0.42,0.462,0.527,0.599,0.633,0.666,0.68,0.678,0.694,0.688,0.7,0.697,0.7,0.705,0.706,0.706,0.709,0.711,0.711,0.714,0.71,0.719,0.72,0.725,0.725,0.725,0.724,0.728,0.729,0.738,0.738,0.733,0.743,0.744,0.749,0.749,0.748,0.752,0.756,0.756,0.756,0.762,0.761,0.767,0.769,0.772,0.764,0.77,0.769,0.773,0.78,0.78,0.782,0.786,0.786,0.793,0.798,0.798,0.795,0.804,0.802,0.804,0.81,0.813,0.819,0.82,0.817,0.816,0.826,0.828,0.827,0.832,0.831,0.837,0.838,0.838,0.846,0.847,0.847,0.851,0.854,0.857,0.859,0.865,0.864,0.869,0.874,0.875,0.877,0.884,0.884,0.889,0.884,0.894,0.892,0.89,0.897,0.896,0.904,0.897,0.905,0.905,0.901,0.909,0.91,0.911,0.915,0.913,0.921,0.913,0.919,
G08,0.112,0.105,0.105,0.105,0.105,0.111,0.115,0.119,0.125,0.135,0.146,0.159,0.176,0.198,0.219,0.247,0.275,0.309,0.346,0.387,0.43,0.495,0.551,0.578,0.6,0.61,0.615,0.62,0.624,0.628,0.631,0.632,0.637,0.636,0.645,0.642,0.644,0.647,0.649,0.652,0.653,0.655,0.656,0.658,0.657,0.662,0.661,0.663,0.668,0.667,0.668,0.673,0.673,0.677,0.678,0.684,0.683,0.686,0.688,0.69,0.695,0.695,0.701,0.704,0.705,0.706,0.706,0.713,0.718,0.719,0.721,0.721,0.723,0.728,0.727,0.732,0.733,0.736,0.736,0.742,0.742,0.739,0.744,0.746,0.749,0.75,0.754,0.752,0.755,0.757,0.761,0.758,0.765,0.768,0.775,0.772,0.773,0.775,0.776,0.779,0.783,0.783,0.786,0.799,0.793,0.795,0.8,0.809,0.806,0.808,0.811,0.818,0.814,0.815,0.824,0.818,0.827,0.824,0.83,0.828,0.83,0.838,0.828,0.832,0.83,0.833,0.835,0.838,0.84,0.843,
H07,0.12,0.113,0.11,0.111,0.114,0.118,0.123,0.13,0.137,0.147,0.16,0.178,0.199,0.223,0.244,0.273,0.305,0.333,0.368,0.414,0.454,0.52,0.569,0.593,0.616,0.63,0.622,0.634,0.632,0.643,0.638,0.64,0.654,0.656,0.65,0.661,0.661,0.664,0.664,0.655,0.668,0.671,0.673,0.675,0.674,0.671,0.672,0.671,0.684,0.681,0.678,0.69,0.691,0.693,0.696,0.692,0.701,0.7,0.704,0.706,0.711,0.712,0.713,0.717,0.717,0.708,0.72,0.712,0.717,0.721,0.723,0.723,0.734,0.728,0.74,0.742,0.743,0.739,0.749,0.744,0.747,0.756,0.755,0.759,0.764,0.765,0.757,0.77,0.773,0.771,0.777,0.776,0.782,0.784,0.776,0.789,0.794,0.795,0.796,0.802,0.803,0.805,0.809,0.803,0.813,0.816,0.822,0.813,0.823,0.827,0.829,0.822,0.834,0.833,0.827,0.84,0.835,0.844,0.839,0.844,0.85,0.841,0.85,0.85,0.852,0.856,0.855,0.856,0.851,0.853,
H08,0.117,0.117,0.116,0.112,0.12,0.125,0.129,0.142,0.154,0.159,0.173,0.199,0.218,0.232,0.256,0.283,0.313,0.353,0.384,0.405,0.466,0.512,0.547,0.567,0.583,0.589,0.611,0.601,0.621,0.602,0.618,0.62,0.61,0.612,0.629,0.614,0.615,0.617,0.615,0.633,0.621,0.621,0.624,0.624,0.627,0.643,0.647,0.651,0.638,0.636,0.654,0.64,0.643,0.644,0.649,0.668,0.655,0.657,0.661,0.661,0.67,0.673,0.687,0.705,0.729,0.727,0.716,0.73,0.741,0.733,0.71,0.759,0.7,0.72,0.708,0.71,0.713,0.732,0.716,0.739,0.742,0.723,0.727,0.732,0.735,0.735,0.756,0.745,0.749,0.75,0.755,0.756,0.762,0.765,0.789,0.768,0.773,0.812,0.787,0.779,0.783,0.781,0.784,0.812,0.792,0.798,0.8,0.82,0.807,0.806,0.811,0.835,0.813,0.817,0.84,0.821,0.846,0.825,0.847,0.827,0.833,0.857,0.833,0.835,0.832,0.84,0.838,0.841,0.866,0.863,
E07,0.077,0.077,0.075,0.076,0.075,0.075,0.077,0.077,0.077,0.079,0.079,0.08,0.081,0.084,0.13,0.13,0.119,0.109,0.098,0.107,0.107,0.117,0.125,0.135,0.145,0.158,0.16,0.186,0.189,0.224,0.232,0.257,0.316,0.352,0.36,0.404,0.414,0.428,0.433,0.414,0.45,0.455,0.461,0.465,0.467,0.448,0.452,0.455,0.484,0.487,0.463,0.49,0.493,0.493,0.498,0.474,0.504,0.506,0.506,0.509,0.516,0.514,0.52,0.517,0.524,0.503,0.529,0.51,0.517,0.518,0.52,0.523,0.548,0.532,0.553,0.558,0.561,0.54,0.567,0.547,0.547,0.57,0.575,0.577,0.58,0.581,0.561,0.587,0.588,0.593,0.594,0.593,0.6,0.597,0.58,0.607,0.604,0.61,0.613,0.612,0.615,0.616,0.619,0.6,0.626,0.626,0.624,0.607,0.63,0.633,0.634,0.611,0.638,0.638,0.615,0.637,0.618,0.641,0.62,0.644,0.646,0.623,0.65,0.649,0.648,0.649,0.65,0.654,0.629,0.631,
