Well_Name,1.8222222570329905E-4, 0.5054600000148639, 1.5149072222411633, 2.02185166667914, 2.527407222252805, 3.032687777769752, 3.5374099999899045, 4.043798888917081, 4.549079444434028, 5.5588044444448315, 6.063804444449488, 6.569360000023153, 7.075473888893612, 7.581862777762581, 8.086587777768727, 8.592143333342392, 9.097423888917547, 9.6021461111377, 10.10770444443915, 10.613815555581823, 11.119926944433246, 11.625204722222406, 12.130204722227063, 12.63631666667061, 13.143539722252171, 13.650488611136097, 14.157711944484618, 14.665212500025518, 15.171880000038072, 15.677436666679569, 16.183271388930734, 16.688832777785137, 17.195502222224604, 17.70050222222926, 18.207724444451742, 18.7138383333222, 19.219393888895866, 19.725227500020992, 20.23217194445897, 20.737172222230583, 21.243284444441088, 21.750507777789608, 22.257731111138128, 22.763843333348632, 23.271344722248614, 23.776346111146268, 24.282458888890687, 24.787737777805887, 25.295243333326653, 25.80302250001114, 26.30969027779065, 26.814691666688304, 27.32080388889881, 27.826360555540305, 28.333583888888825, 28.840529166685883, 29.346641388896387, 29.85442083334783, 30.360811111109797, 30.868034722225275, 31.374147222260945, 31.88109305559192, 32.3888722222182, 32.896095833333675, 33.4035969444667, 33.91054277779767, 34.416934722219594, 34.92388055555057, 35.42943722225027, 35.934715833340306, 36.44166166667128, 36.948607500002254, 37.45555305556627, 37.9638874999946, 38.47111083334312, 39.486113333376125, 39.99278166668955, 40.49917194445152, 41.51278527779505, 42.02167527779238, 42.52806555555435, 43.03445583337452, 43.54112361109583, 44.04806916665984, 44.556125833361875, 45.063904999988154, 45.57140611112118, 46.077796111116186, 46.584186111111194, 47.092242777813226, 47.598632777808234, 48.10474500001874, 48.611690555582754, 49.11780277779326, 49.6269705555751, 50.13391638890607, 50.64002861111658, 51.146975000039674, 51.655309444468, 52.16281055554282, 52.66920027777087, 53.17586805555038, 53.68364694446791, 54.19142583332723, 54.69837111112429, 55.20559444447281, 56.22059638891369, 56.72837527777301, 57.23587666667299, 57.744488888885826, 58.25115666666534, 58.75782444444485, 59.26449222222436, 59.771159722236916, 60.78532805555733, 61.29199583333684, 61.80060916667571, 62.30755472223973, 62.81394444446778, 63.321445555542596, 63.82839111110661, 64.33644777780864, 64.84200444445014, 65.34950555558316, 
I07,0.155,0.152,0.154,0.158,0.168,0.177,0.184,0.2,0.217,0.268,0.299,0.335,0.37,0.408,0.453,0.513,0.575,0.621,0.639,0.659,0.669,0.67,0.679,0.685,0.685,0.684,0.687,0.689,0.695,0.696,0.699,0.701,0.7,0.701,0.701,0.704,0.704,0.703,0.709,0.709,0.706,0.711,0.711,0.711,0.715,0.717,0.722,0.723,0.724,0.729,0.732,0.733,0.736,0.739,0.738,0.74,0.739,0.742,0.744,0.747,0.751,0.754,0.759,0.76,0.765,0.767,0.768,0.769,0.772,0.775,0.776,0.778,0.78,0.785,0.784,0.79,0.793,0.793,0.8,0.804,0.799,0.803,0.807,0.81,0.814,0.814,0.818,0.824,0.823,0.823,0.827,0.83,0.834,0.836,0.84,0.84,0.843,0.844,0.848,0.85,0.85,0.856,0.859,0.863,0.86,0.868,0.873,0.877,0.878,0.879,0.883,0.885,0.888,0.891,0.888,0.896,0.899,0.9,0.902,0.903,0.906,0.914,0.913,0.913,
I08,0.17,0.166,0.17,0.174,0.183,0.194,0.211,0.23,0.254,0.318,0.353,0.39,0.43,0.475,0.529,0.595,0.634,0.653,0.671,0.674,0.68,0.683,0.686,0.691,0.689,0.689,0.691,0.694,0.697,0.7,0.704,0.703,0.703,0.704,0.704,0.708,0.707,0.709,0.712,0.71,0.71,0.715,0.716,0.715,0.72,0.722,0.723,0.728,0.728,0.733,0.736,0.737,0.739,0.741,0.742,0.747,0.746,0.75,0.752,0.753,0.757,0.758,0.761,0.764,0.768,0.769,0.774,0.774,0.775,0.777,0.78,0.781,0.783,0.789,0.79,0.793,0.798,0.795,0.801,0.805,0.801,0.809,0.808,0.808,0.815,0.816,0.82,0.825,0.825,0.828,0.832,0.831,0.834,0.838,0.84,0.843,0.846,0.847,0.851,0.857,0.859,0.863,0.868,0.872,0.867,0.876,0.878,0.883,0.887,0.889,0.889,0.895,0.897,0.902,0.901,0.907,0.916,0.912,0.916,0.915,0.917,0.925,0.923,0.925,
J07,0.268,0.276,0.274,0.286,0.306,0.33,0.363,0.4,0.433,0.527,0.596,0.636,0.656,0.668,0.665,0.68,0.68,0.685,0.687,0.686,0.692,0.695,0.7,0.699,0.705,0.701,0.705,0.708,0.71,0.712,0.714,0.714,0.718,0.718,0.716,0.719,0.721,0.725,0.729,0.729,0.728,0.731,0.736,0.735,0.737,0.741,0.742,0.746,0.747,0.751,0.752,0.754,0.756,0.759,0.762,0.764,0.768,0.771,0.772,0.775,0.777,0.78,0.786,0.785,0.786,0.79,0.792,0.791,0.793,0.796,0.797,0.804,0.807,0.806,0.809,0.813,0.817,0.816,0.82,0.821,0.823,0.828,0.83,0.83,0.833,0.835,0.835,0.844,0.84,0.842,0.843,0.849,0.852,0.85,0.851,0.855,0.862,0.863,0.87,0.869,0.868,0.875,0.878,0.877,0.875,0.88,0.887,0.888,0.892,0.892,0.897,0.901,0.901,0.9,0.904,0.907,0.905,0.909,0.915,0.915,0.916,0.923,0.919,0.919,
J08,0.19,0.18,0.181,0.188,0.2,0.212,0.232,0.253,0.278,0.341,0.372,0.408,0.442,0.483,0.542,0.604,0.666,0.695,0.716,0.726,0.73,0.739,0.741,0.743,0.746,0.744,0.746,0.75,0.753,0.756,0.757,0.758,0.761,0.762,0.763,0.768,0.764,0.769,0.771,0.769,0.766,0.77,0.776,0.775,0.776,0.779,0.779,0.782,0.782,0.789,0.79,0.791,0.791,0.796,0.8,0.8,0.802,0.803,0.803,0.809,0.81,0.813,0.816,0.82,0.82,0.828,0.825,0.826,0.828,0.831,0.833,0.834,0.838,0.835,0.844,0.845,0.846,0.848,0.857,0.851,0.853,0.861,0.86,0.86,0.866,0.868,0.867,0.876,0.874,0.877,0.881,0.879,0.884,0.885,0.887,0.891,0.894,0.897,0.905,0.901,0.902,0.905,0.911,0.914,0.912,0.917,0.926,0.922,0.927,0.933,0.933,0.937,0.938,0.939,0.94,0.946,0.957,0.951,0.952,0.962,0.96,0.966,0.963,0.962,
G07,0.1,0.095,0.092,0.093,0.096,0.098,0.1,0.105,0.11,0.123,0.13,0.141,0.153,0.166,0.183,0.207,0.232,0.264,0.297,0.333,0.377,0.423,0.473,0.531,0.605,0.664,0.7,0.724,0.736,0.743,0.752,0.753,0.757,0.754,0.76,0.76,0.761,0.765,0.763,0.763,0.764,0.767,0.77,0.767,0.773,0.77,0.773,0.772,0.773,0.774,0.779,0.776,0.778,0.782,0.778,0.782,0.786,0.786,0.789,0.789,0.795,0.796,0.795,0.798,0.802,0.802,0.808,0.806,0.81,0.815,0.813,0.819,0.817,0.82,0.822,0.826,0.828,0.823,0.835,0.833,0.832,0.838,0.84,0.84,0.843,0.846,0.847,0.852,0.851,0.851,0.857,0.855,0.861,0.861,0.862,0.865,0.869,0.873,0.877,0.877,0.877,0.88,0.889,0.885,0.889,0.891,0.901,0.9,0.903,0.903,0.909,0.918,0.917,0.924,0.921,0.931,0.921,0.932,0.935,0.941,0.939,0.941,0.94,0.942,
G08,0.113,0.109,0.107,0.108,0.113,0.116,0.121,0.128,0.135,0.159,0.173,0.191,0.211,0.238,0.264,0.302,0.347,0.388,0.433,0.488,0.546,0.59,0.608,0.627,0.631,0.643,0.646,0.648,0.646,0.653,0.66,0.659,0.663,0.662,0.665,0.664,0.662,0.672,0.668,0.669,0.67,0.673,0.676,0.676,0.678,0.682,0.679,0.682,0.682,0.688,0.691,0.69,0.692,0.7,0.699,0.702,0.703,0.705,0.711,0.713,0.717,0.717,0.722,0.724,0.726,0.726,0.729,0.733,0.731,0.739,0.738,0.743,0.742,0.746,0.752,0.755,0.761,0.759,0.766,0.766,0.762,0.772,0.778,0.773,0.779,0.781,0.784,0.786,0.787,0.789,0.79,0.793,0.794,0.799,0.8,0.8,0.804,0.808,0.813,0.813,0.817,0.819,0.824,0.824,0.826,0.829,0.837,0.838,0.838,0.84,0.842,0.851,0.852,0.855,0.852,0.859,0.843,0.862,0.863,0.87,0.867,0.871,0.872,0.872,
H07,0.179,0.183,0.186,0.192,0.203,0.218,0.236,0.261,0.291,0.361,0.394,0.433,0.479,0.535,0.604,0.649,0.668,0.688,0.698,0.703,0.701,0.702,0.709,0.71,0.712,0.713,0.715,0.724,0.724,0.728,0.728,0.724,0.725,0.728,0.727,0.727,0.728,0.728,0.734,0.733,0.731,0.738,0.739,0.737,0.743,0.746,0.746,0.747,0.749,0.755,0.755,0.756,0.757,0.76,0.759,0.762,0.763,0.766,0.769,0.77,0.776,0.777,0.78,0.782,0.784,0.787,0.787,0.79,0.794,0.798,0.797,0.802,0.801,0.804,0.81,0.814,0.815,0.817,0.823,0.82,0.823,0.827,0.829,0.829,0.835,0.839,0.84,0.843,0.847,0.849,0.851,0.85,0.856,0.857,0.857,0.864,0.867,0.867,0.874,0.877,0.875,0.88,0.887,0.887,0.886,0.892,0.896,0.901,0.905,0.907,0.908,0.911,0.917,0.92,0.918,0.922,0.926,0.927,0.93,0.932,0.935,0.936,0.938,0.937,
H08,0.089,0.084,0.086,0.087,0.089,0.091,0.094,0.098,0.103,0.116,0.126,0.136,0.148,0.164,0.179,0.199,0.224,0.249,0.28,0.312,0.349,0.382,0.432,0.49,0.536,0.566,0.585,0.6,0.608,0.61,0.618,0.622,0.623,0.625,0.624,0.629,0.63,0.635,0.637,0.639,0.636,0.644,0.646,0.64,0.65,0.652,0.653,0.653,0.657,0.662,0.661,0.664,0.664,0.668,0.672,0.673,0.675,0.679,0.681,0.684,0.691,0.694,0.697,0.7,0.704,0.706,0.71,0.71,0.714,0.718,0.718,0.724,0.724,0.728,0.732,0.739,0.74,0.744,0.749,0.752,0.75,0.758,0.761,0.76,0.764,0.768,0.77,0.773,0.775,0.778,0.781,0.78,0.785,0.787,0.794,0.793,0.799,0.803,0.804,0.808,0.809,0.814,0.817,0.816,0.82,0.825,0.83,0.831,0.832,0.834,0.834,0.842,0.844,0.847,0.845,0.849,0.839,0.85,0.853,0.856,0.856,0.86,0.861,0.86,
E07,0.089,0.084,0.082,0.083,0.083,0.084,0.085,0.087,0.089,0.096,0.099,0.105,0.111,0.117,0.13,0.136,0.148,0.162,0.178,0.197,0.221,0.253,0.286,0.319,0.356,0.404,0.442,0.469,0.487,0.505,0.515,0.523,0.529,0.536,0.536,0.54,0.542,0.549,0.547,0.551,0.553,0.555,0.559,0.558,0.562,0.563,0.565,0.567,0.57,0.573,0.578,0.579,0.58,0.581,0.587,0.589,0.594,0.597,0.597,0.602,0.607,0.611,0.611,0.613,0.615,0.619,0.621,0.623,0.625,0.63,0.631,0.635,0.639,0.642,0.646,0.65,0.652,0.653,0.658,0.658,0.662,0.667,0.668,0.669,0.675,0.677,0.679,0.688,0.687,0.688,0.689,0.691,0.693,0.697,0.699,0.705,0.708,0.712,0.714,0.714,0.713,0.716,0.72,0.722,0.722,0.724,0.729,0.732,0.735,0.736,0.737,0.74,0.739,0.743,0.743,0.747,0.767,0.748,0.752,0.752,0.759,0.758,0.755,0.758,
