Well_Name,-4.75000124424696E-5, 0.5063413889147341, 1.011896944430191, 1.519121944438666, 2.0249552777968347, 2.5307886110967956, 3.0357886111014523, 3.543010833323933, 4.0496802777634, 4.556902499985881, 5.063013611128554, 5.569958055566531, 6.076069166650996, 6.584405277797487, 7.089960833312944, 7.5977386111044325, 8.104127500031609, 8.610516388900578, 9.119130277773365, 9.627463611133862, 10.135796944436152, 10.643019166658632, 11.149408055585809, 11.656633055536076, 12.16468861111207, 12.672744166688062, 13.179966388910543, 13.68691083334852, 14.193577500001993, 14.70163583336398, 15.207469166663941, 15.716635833319742, 16.22358027775772, 16.733024722256232, 17.239416388911195, 17.745249722211156, 18.253860833356157, 18.760805277794134, 19.267752500018105, 19.776641388889402, 20.282752500032075, 20.791363611118868, 21.299141388910357, 21.80664416664513, 22.31469972222112, 22.82358861109242, 23.3308108333149, 23.836646944459062, 24.343869166681543, 24.852480277768336, 25.360813611128833, 25.86970250000013, 26.379427500010934, 26.887205277802423, 27.397760833322536, 27.906927499978337, 28.415260833338834, 28.92248583334731, 29.4308191666496, 29.940819166658912, 30.44720805558609, 30.95581916667288, 31.46193305554334, 31.96971083333483, 32.47832194442162, 32.98804416664643, 33.4935997222201, 34.001658055582084, 34.509435833315365, 35.01776916667586, 35.525824722251855, 36.03416083334014, 36.54054972220911, 37.048327500000596, 37.5574941666564, 38.0666608333122, 38.57360805553617, 39.08166361111216, 39.58805249998113, 40.095552499988116, 40.60555249999743, 41.11416638887022, 41.624444166664034, 42.133055277809035, 42.642221944464836, 43.14916916668881, 43.65666916669579, 44.16472472221358, 44.67278027778957, 45.18166916666087, 45.69056083331816, 46.199449722247664, 46.706671944470145, 47.215005277772434, 47.72389416664373, 48.2308413888677, 48.740285833366215, 49.24945250002202, 49.758341388893314, 50.2666774999816, 50.7752886111266, 51.28306638891809, 51.79223305557389, 52.29973305558087, 52.80834694445366, 53.315846944460645, 53.825569166685455, 54.33251361112343, 54.841124722210225, 55.34918027778622, 55.85890527779702, 56.368905277806334, 56.87696083332412, 57.385294166684616, 57.89473861112492, 58.40390805556672, 58.91390805557603, 59.421963611093815, 59.931685833318625, 60.443352499976754, 60.95141083333874, 61.46168861113256, 61.96918861113954, 62.47668861108832, 62.98446638887981, 63.49113305553328, 64.00030250003329, 64.50946916668909, 
I07,0.135,0.122,0.123,0.122,0.126,0.13,0.137,0.144,0.157,0.168,0.186,0.206,0.227,0.256,0.287,0.323,0.362,0.397,0.441,0.501,0.554,0.585,0.603,0.618,0.62,0.625,0.628,0.63,0.632,0.635,0.639,0.64,0.644,0.645,0.649,0.654,0.651,0.654,0.654,0.657,0.661,0.661,0.666,0.667,0.668,0.672,0.674,0.677,0.685,0.686,0.685,0.69,0.702,0.702,0.703,0.713,0.707,0.71,0.713,0.716,0.721,0.73,0.728,0.731,0.732,0.732,0.739,0.747,0.743,0.757,0.75,0.754,0.759,0.76,0.765,0.779,0.773,0.776,0.78,0.786,0.79,0.794,0.796,0.8,0.803,0.808,0.812,0.815,0.818,0.825,0.829,0.83,0.834,0.851,0.842,0.846,0.851,0.85,0.859,0.86,0.861,0.867,0.882,0.876,0.874,0.874,0.887,0.877,0.882,0.887,0.893,0.896,0.892,0.896,0.9,0.906,0.909,0.912,0.921,0.915,0.924,0.92,0.933,0.932,0.93,0.934,0.933,0.946,
I08,0.115,0.114,0.114,0.116,0.118,0.122,0.127,0.131,0.14,0.152,0.165,0.18,0.198,0.221,0.245,0.271,0.299,0.342,0.379,0.416,0.467,0.541,0.581,0.605,0.62,0.624,0.627,0.63,0.631,0.635,0.634,0.638,0.64,0.643,0.646,0.635,0.647,0.652,0.653,0.656,0.656,0.66,0.659,0.66,0.665,0.664,0.664,0.667,0.659,0.673,0.674,0.676,0.672,0.672,0.682,0.676,0.689,0.691,0.695,0.695,0.702,0.695,0.711,0.711,0.713,0.715,0.715,0.712,0.722,0.72,0.727,0.732,0.733,0.733,0.738,0.731,0.743,0.744,0.748,0.751,0.751,0.754,0.757,0.76,0.765,0.769,0.768,0.772,0.774,0.779,0.782,0.782,0.787,0.785,0.794,0.794,0.797,0.798,0.804,0.805,0.809,0.812,0.81,0.82,0.821,0.821,0.816,0.827,0.83,0.832,0.837,0.828,0.835,0.835,0.838,0.841,0.842,0.846,0.841,0.85,0.842,0.853,0.848,0.849,0.857,0.862,0.861,0.859,
J07,0.1,0.095,0.099,0.1,0.106,0.109,0.112,0.115,0.121,0.131,0.142,0.153,0.168,0.185,0.205,0.228,0.251,0.284,0.321,0.356,0.394,0.456,0.503,0.527,0.548,0.563,0.57,0.571,0.576,0.581,0.587,0.591,0.592,0.597,0.598,0.593,0.601,0.665,0.611,0.612,0.614,0.615,0.62,0.622,0.627,0.631,0.633,0.635,0.634,0.643,0.647,0.652,0.65,0.657,0.664,0.666,0.67,0.675,0.675,0.681,0.683,0.688,0.694,0.696,0.701,0.705,0.709,0.714,0.72,0.723,0.727,0.728,0.735,0.739,0.742,0.744,0.755,0.753,0.759,0.764,0.772,0.78,0.782,0.787,0.791,0.795,0.8,0.805,0.808,0.811,0.815,0.817,0.819,0.828,0.83,0.834,0.833,0.833,0.84,0.844,0.849,0.849,0.853,0.851,0.854,0.857,0.863,0.864,0.867,0.869,0.873,0.876,0.877,0.877,0.882,0.886,0.889,0.885,0.892,0.897,0.903,0.905,0.911,0.915,0.916,0.916,0.921,0.925,
J08,0.151,0.149,0.154,0.157,0.163,0.17,0.18,0.187,0.205,0.234,0.261,0.291,0.324,0.36,0.397,0.435,0.466,0.535,0.603,0.659,0.698,0.746,0.756,0.762,0.77,0.776,0.778,0.778,0.784,0.788,0.789,0.79,0.79,0.796,0.793,0.775,0.799,0.799,0.805,0.805,0.802,0.806,0.809,0.809,0.812,0.813,0.819,0.813,0.8,0.82,0.82,0.827,0.806,0.81,0.833,0.816,0.834,0.837,0.837,0.839,0.841,0.83,0.849,0.851,0.848,0.855,0.853,0.843,0.863,0.85,0.861,0.864,0.872,0.871,0.87,0.858,0.876,0.876,0.88,0.886,0.89,0.893,0.898,0.9,0.905,0.904,0.912,0.914,0.915,0.913,0.92,0.919,0.919,0.915,0.928,0.935,0.938,0.941,0.949,0.953,0.95,0.958,0.951,0.961,0.961,0.969,0.96,0.974,0.98,0.98,0.983,0.974,0.986,0.986,0.992,0.996,0.996,0.996,0.988,1.001,0.984,1.011,0.998,1.001,1.014,1.019,1.016,1.004,
G07,0.125,0.116,0.113,0.117,0.119,0.124,0.131,0.138,0.151,0.162,0.179,0.201,0.224,0.253,0.288,0.322,0.357,0.397,0.446,0.497,0.564,0.614,0.645,0.658,0.666,0.673,0.674,0.678,0.68,0.685,0.691,0.693,0.696,0.7,0.701,0.7,0.705,0.706,0.707,0.707,0.71,0.71,0.711,0.712,0.714,0.72,0.721,0.723,0.725,0.73,0.732,0.736,0.737,0.74,0.744,0.744,0.751,0.755,0.755,0.758,0.76,0.762,0.767,0.769,0.771,0.775,0.776,0.781,0.783,0.785,0.787,0.792,0.796,0.798,0.802,0.801,0.812,0.81,0.819,0.821,0.825,0.828,0.831,0.835,0.84,0.842,0.848,0.854,0.853,0.86,0.865,0.868,0.868,0.875,0.879,0.881,0.885,0.881,0.887,0.895,0.893,0.897,0.902,0.902,0.909,0.908,0.915,0.909,0.917,0.922,0.92,0.926,0.924,0.933,0.933,0.933,0.938,0.939,0.942,0.941,0.945,0.948,0.954,0.964,0.957,0.96,0.961,0.969,
G08,0.111,0.11,0.113,0.113,0.116,0.121,0.125,0.128,0.138,0.152,0.167,0.185,0.209,0.234,0.265,0.293,0.325,0.375,0.419,0.46,0.521,0.59,0.624,0.647,0.657,0.663,0.666,0.675,0.672,0.677,0.678,0.679,0.682,0.684,0.689,0.675,0.693,0.697,0.698,0.698,0.701,0.701,0.704,0.702,0.705,0.706,0.711,0.714,0.704,0.72,0.721,0.722,0.713,0.714,0.727,0.721,0.734,0.736,0.735,0.741,0.743,0.734,0.748,0.747,0.753,0.754,0.755,0.752,0.76,0.756,0.768,0.771,0.773,0.779,0.782,0.771,0.784,0.785,0.789,0.79,0.795,0.799,0.799,0.802,0.805,0.809,0.814,0.817,0.819,0.823,0.825,0.824,0.831,0.828,0.837,0.839,0.847,0.844,0.851,0.856,0.856,0.858,0.859,0.865,0.872,0.871,0.875,0.874,0.879,0.882,0.883,0.884,0.885,0.891,0.89,0.895,0.896,0.899,0.892,0.901,0.895,0.903,0.902,0.905,0.911,0.912,0.911,0.909,
H07,0.115,0.111,0.11,0.11,0.113,0.116,0.122,0.128,0.139,0.146,0.159,0.175,0.195,0.215,0.243,0.268,0.309,0.334,0.375,0.443,0.492,0.508,0.529,0.541,0.548,0.556,0.56,0.564,0.568,0.572,0.575,0.575,0.576,0.581,0.581,0.598,0.585,0.589,0.591,0.591,0.596,0.596,0.601,0.604,0.602,0.61,0.612,0.615,0.635,0.623,0.626,0.631,0.651,0.656,0.642,0.662,0.652,0.654,0.658,0.662,0.664,0.686,0.676,0.68,0.683,0.686,0.692,0.711,0.699,0.716,0.705,0.711,0.714,0.719,0.723,0.74,0.735,0.736,0.743,0.745,0.751,0.757,0.759,0.767,0.766,0.769,0.774,0.779,0.785,0.787,0.792,0.799,0.795,0.823,0.803,0.806,0.811,0.811,0.819,0.818,0.823,0.824,0.849,0.827,0.832,0.833,0.861,0.839,0.843,0.844,0.848,0.872,0.847,0.854,0.855,0.858,0.862,0.866,0.89,0.871,0.895,0.882,0.906,0.903,0.886,0.898,0.896,0.923,
H08,0.116,0.13,0.124,0.126,0.13,0.136,0.145,0.162,0.178,0.183,0.205,0.228,0.251,0.281,0.315,0.348,0.421,0.43,0.484,0.587,0.647,0.628,0.645,0.663,0.685,0.689,0.698,0.709,0.705,0.708,0.714,0.715,0.714,0.723,0.72,0.775,0.726,0.725,0.729,0.729,0.733,0.734,0.736,0.741,0.741,0.746,0.75,0.751,0.799,0.762,0.762,0.767,0.81,0.816,0.773,0.82,0.776,0.784,0.785,0.787,0.783,0.836,0.793,0.795,0.8,0.803,0.806,0.852,0.814,0.855,0.813,0.822,0.823,0.822,0.826,0.87,0.836,0.837,0.839,0.843,0.845,0.854,0.848,0.85,0.852,0.857,0.859,0.863,0.868,0.867,0.872,0.879,0.87,0.918,0.876,0.88,0.889,0.889,0.891,0.897,0.895,0.9,0.95,0.904,0.907,0.911,0.965,0.919,0.915,0.921,0.923,0.973,0.922,0.926,0.923,0.932,0.934,0.939,0.986,0.942,0.989,0.941,1.001,0.997,0.944,0.952,0.952,1.001,
E07,0.088,0.079,0.076,0.082,0.087,0.093,0.102,0.112,0.126,0.137,0.155,0.179,0.204,0.235,0.271,0.305,0.343,0.381,0.425,0.47,0.502,0.533,0.546,0.562,0.573,0.577,0.582,0.586,0.59,0.595,0.599,0.598,0.595,0.604,0.605,0.607,0.61,0.613,0.614,0.616,0.619,0.623,0.626,0.627,0.631,0.635,0.643,0.639,0.642,0.648,0.65,0.654,0.658,0.659,0.663,0.667,0.669,0.674,0.676,0.679,0.683,0.686,0.69,0.692,0.695,0.697,0.701,0.707,0.713,0.713,0.72,0.723,0.724,0.73,0.735,0.738,0.742,0.744,0.747,0.754,0.751,0.759,0.762,0.761,0.767,0.771,0.775,0.778,0.781,0.787,0.785,0.792,0.79,0.797,0.798,0.798,0.803,0.802,0.807,0.808,0.811,0.814,0.823,0.815,0.823,0.824,0.834,0.828,0.831,0.835,0.839,0.846,0.843,0.848,0.842,0.85,0.847,0.854,0.868,0.855,0.865,0.865,0.868,0.871,0.867,0.874,0.882,0.886,
