Well_Name,9.333336493000388E-5, 0.5042600000160746, 1.0106488888850436, 1.5175933333230205, 2.023982222250197, 2.529262777767144, 3.0350961111253127, 3.5417627777787857, 4.047873888921458, 4.554543333360925, 5.061487777798902, 5.568154444452375, 6.074546111107338, 6.581212777760811, 7.089546111121308, 7.594546111125965, 8.10232666664524, 8.609271111141425, 9.117048888874706, 9.623993333312683, 10.133160000026692, 10.640662777761463, 11.148162777768448, 11.654829444421921, 12.162054444430396, 12.66955444443738, 13.177610000013374, 13.685110000020359, 14.19261277775513, 14.698446111113299, 15.205951666692272, 15.713173888914753, 16.222065555572044, 16.729843333363533, 17.23873222223483, 17.744012777809985, 18.251235000032466, 18.758734999981243, 19.773459999996703, 20.2817933333572, 20.788737777795177, 21.296515555586666, 21.804573888890445, 22.311796111112926, 22.820129444473423, 23.328462777775712, 23.83513222221518, 24.341521111142356, 24.849298888875637, 25.357912777806632, 25.865968333324417, 26.37485999998171, 26.884304444422014, 27.393748888920527, 27.904026666656137, 28.411529444449116, 28.919862777809612, 29.936807222198695, 30.44542111112969, 31.460698888869956, 31.96764333336614, 32.475979444454424, 32.98486833332572, 33.492923888901714, 33.99903499998618, 34.507093333348166, 35.01431555557065, 35.52348222222645, 36.03070444444893, 36.53848500002641, 37.046262777759694, 37.55404333333718, 38.06320999999298, 38.572098888864275, 39.079046111088246, 39.586823888879735, 40.0934933333192, 40.60071555554168, 41.111271111120004, 41.6204405555618, 42.13016277778661, 42.6390544444439, 43.1473877778044, 43.65433500002837, 44.16239055554615, 45.179059999994934, 45.687671111139935, 46.19684055558173, 46.7043433333165, 47.21128777775448, 48.22934611112578, 48.73767944442807, 49.24518222222105, 49.75518222223036, 50.26351833331864, 50.771573888894636, 51.28018499998143, 51.788798888912424, 52.29741277778521, 52.80463500000769, 53.31296833330998, 53.822137777809985, 54.330471111112274, 54.837993333349004, 55.346326666651294, 55.85410472220974, 56.365493611141574, 56.87410472222837, 57.38327138888417, 57.89077138889115, 58.90966166666476, 59.41938472224865, 59.92771888891002, 60.43827527778922, 60.94855388888391, 61.457443611114286, 61.96689388889354, 62.47411611111602, 62.981616111123, 63.48967444442678, 63.99634111113846, 64.50550777779426, 65.01467722223606, 
I07,0.152,0.168,0.154,0.157,0.16,0.17,0.18,0.192,0.21,0.229,0.255,0.285,0.314,0.35,0.388,0.418,0.487,0.552,0.589,0.606,0.624,0.608,0.61,0.638,0.617,0.639,0.643,0.652,0.657,0.658,0.658,0.657,0.636,0.661,0.665,0.666,0.643,0.67,0.672,0.673,0.68,0.679,0.683,0.686,0.682,0.689,0.694,0.694,0.697,0.705,0.705,0.711,0.711,0.715,0.717,0.72,0.724,0.727,0.73,0.738,0.742,0.743,0.749,0.752,0.739,0.763,0.763,0.767,0.771,0.776,0.779,0.779,0.769,0.768,0.778,0.782,0.795,0.799,0.803,0.812,0.812,0.814,0.812,0.821,0.824,0.827,0.815,0.823,0.841,0.845,0.848,0.859,0.864,0.862,0.867,0.871,0.872,0.879,0.879,0.885,0.891,0.888,0.892,0.899,0.895,0.902,0.902,0.904,0.907,0.905,0.889,0.897,0.912,0.915,0.901,0.918,0.922,0.929,0.928,0.929,0.928,0.933,0.913,
I08,0.171,0.16,0.162,0.162,0.165,0.174,0.185,0.196,0.215,0.235,0.259,0.289,0.324,0.359,0.399,0.443,0.495,0.554,0.593,0.613,0.621,0.632,0.642,0.637,0.642,0.634,0.642,0.648,0.648,0.653,0.654,0.657,0.66,0.657,0.662,0.664,0.668,0.667,0.67,0.67,0.672,0.675,0.679,0.68,0.681,0.686,0.69,0.689,0.692,0.695,0.696,0.701,0.703,0.703,0.705,0.706,0.71,0.715,0.715,0.723,0.725,0.723,0.73,0.732,0.74,0.738,0.742,0.741,0.747,0.751,0.751,0.752,0.764,0.767,0.771,0.773,0.764,0.771,0.772,0.778,0.778,0.781,0.782,0.788,0.79,0.798,0.805,0.808,0.804,0.808,0.81,0.821,0.821,0.822,0.826,0.829,0.83,0.835,0.835,0.84,0.842,0.841,0.845,0.849,0.846,0.853,0.854,0.858,0.861,0.859,0.867,0.872,0.867,0.87,0.879,0.872,0.875,0.879,0.879,0.879,0.874,0.879,0.88,
J07,0.161,0.14,0.137,0.138,0.141,0.149,0.156,0.167,0.177,0.195,0.216,0.241,0.27,0.299,0.332,0.363,0.407,0.448,0.511,0.557,0.598,0.612,0.628,0.649,0.644,0.654,0.659,0.669,0.664,0.674,0.678,0.679,0.669,0.678,0.685,0.686,0.677,0.69,0.697,0.696,0.699,0.702,0.705,0.706,0.711,0.713,0.716,0.718,0.72,0.724,0.727,0.73,0.736,0.741,0.743,0.748,0.754,0.758,0.762,0.766,0.774,0.773,0.778,0.78,0.778,0.787,0.791,0.793,0.799,0.8,0.805,0.807,0.808,0.814,0.817,0.819,0.829,0.833,0.84,0.845,0.846,0.852,0.854,0.855,0.862,0.868,0.87,0.876,0.877,0.884,0.885,0.898,0.901,0.901,0.904,0.907,0.907,0.912,0.915,0.918,0.924,0.919,0.926,0.93,0.928,0.933,0.932,0.939,0.937,0.938,0.938,0.946,0.949,0.946,0.953,0.958,0.96,0.959,0.958,0.963,0.961,0.965,0.965,
J08,0.18,0.192,0.189,0.193,0.198,0.209,0.224,0.24,0.266,0.292,0.325,0.361,0.396,0.434,0.471,0.55,0.586,0.621,0.646,0.661,0.665,0.698,0.703,0.689,0.71,0.691,0.694,0.697,0.701,0.696,0.702,0.702,0.72,0.701,0.704,0.709,0.727,0.71,0.713,0.708,0.708,0.715,0.718,0.722,0.724,0.721,0.727,0.725,0.732,0.733,0.738,0.738,0.745,0.743,0.741,0.75,0.748,0.756,0.754,0.759,0.764,0.766,0.769,0.769,0.79,0.769,0.769,0.778,0.777,0.783,0.784,0.786,0.806,0.812,0.816,0.819,0.794,0.806,0.804,0.806,0.808,0.808,0.81,0.814,0.816,0.823,0.846,0.855,0.828,0.833,0.833,0.839,0.844,0.843,0.842,0.85,0.847,0.852,0.855,0.863,0.869,0.865,0.871,0.87,0.87,0.872,0.873,0.878,0.872,0.88,0.906,0.912,0.888,0.887,0.917,0.891,0.893,0.894,0.893,0.9,0.895,0.903,0.93,
G07,0.195,0.195,0.194,0.198,0.205,0.216,0.231,0.248,0.275,0.304,0.339,0.376,0.414,0.462,0.515,0.571,0.622,0.646,0.656,0.669,0.676,0.673,0.675,0.689,0.685,0.692,0.701,0.7,0.699,0.7,0.703,0.703,0.697,0.702,0.708,0.707,0.707,0.713,0.716,0.721,0.719,0.719,0.721,0.725,0.727,0.728,0.735,0.73,0.734,0.738,0.74,0.743,0.743,0.746,0.745,0.749,0.752,0.757,0.76,0.763,0.768,0.771,0.774,0.778,0.778,0.783,0.784,0.788,0.787,0.793,0.791,0.794,0.797,0.801,0.805,0.803,0.806,0.813,0.817,0.819,0.822,0.829,0.83,0.837,0.836,0.845,0.843,0.85,0.856,0.858,0.861,0.869,0.872,0.872,0.868,0.872,0.876,0.881,0.885,0.886,0.89,0.887,0.892,0.894,0.898,0.898,0.893,0.9,0.902,0.906,0.904,0.906,0.909,0.914,0.914,0.919,0.923,0.924,0.925,0.928,0.935,0.934,0.93,
G08,0.148,0.142,0.146,0.147,0.15,0.157,0.166,0.176,0.192,0.209,0.233,0.262,0.294,0.334,0.367,0.406,0.452,0.504,0.57,0.617,0.641,0.649,0.662,0.668,0.672,0.674,0.68,0.681,0.679,0.687,0.688,0.686,0.687,0.691,0.695,0.698,0.695,0.696,0.703,0.702,0.701,0.707,0.705,0.709,0.71,0.71,0.715,0.715,0.719,0.721,0.729,0.73,0.731,0.733,0.733,0.737,0.738,0.746,0.746,0.752,0.759,0.758,0.76,0.763,0.765,0.766,0.769,0.773,0.775,0.777,0.779,0.784,0.786,0.79,0.795,0.797,0.797,0.805,0.804,0.809,0.81,0.813,0.817,0.818,0.818,0.827,0.828,0.832,0.835,0.837,0.841,0.849,0.854,0.853,0.854,0.862,0.858,0.864,0.872,0.873,0.878,0.877,0.879,0.886,0.885,0.886,0.887,0.891,0.893,0.893,0.897,0.901,0.905,0.903,0.906,0.904,0.908,0.908,0.912,0.914,0.912,0.918,0.915,
H07,0.144,0.141,0.141,0.143,0.146,0.154,0.163,0.172,0.187,0.205,0.231,0.257,0.29,0.325,0.365,0.403,0.443,0.499,0.556,0.603,0.635,0.651,0.659,0.671,0.676,0.683,0.688,0.691,0.691,0.698,0.702,0.705,0.698,0.703,0.704,0.708,0.707,0.711,0.716,0.717,0.719,0.718,0.721,0.725,0.725,0.727,0.727,0.731,0.736,0.737,0.736,0.743,0.745,0.748,0.75,0.753,0.757,0.76,0.766,0.768,0.778,0.777,0.781,0.785,0.788,0.789,0.793,0.794,0.802,0.803,0.806,0.81,0.816,0.818,0.819,0.823,0.824,0.829,0.834,0.837,0.844,0.848,0.847,0.851,0.855,0.865,0.872,0.88,0.879,0.881,0.884,0.892,0.894,0.9,0.899,0.906,0.902,0.91,0.917,0.921,0.923,0.92,0.928,0.934,0.932,0.94,0.938,0.942,0.943,0.949,0.958,0.961,0.953,0.956,0.966,0.961,0.966,0.969,0.97,0.972,0.971,0.975,0.986,
H08,0.184,0.192,0.189,0.192,0.198,0.21,0.223,0.241,0.262,0.291,0.318,0.352,0.39,0.427,0.467,0.544,0.589,0.636,0.667,0.691,0.708,0.736,0.743,0.719,0.752,0.728,0.732,0.737,0.737,0.743,0.744,0.744,0.778,0.749,0.753,0.751,0.781,0.76,0.763,0.76,0.764,0.763,0.769,0.77,0.773,0.778,0.774,0.775,0.78,0.783,0.785,0.789,0.792,0.796,0.793,0.794,0.8,0.802,0.803,0.808,0.812,0.811,0.813,0.82,0.842,0.82,0.826,0.823,0.825,0.831,0.831,0.836,0.861,0.861,0.86,0.86,0.844,0.849,0.852,0.853,0.854,0.859,0.861,0.862,0.865,0.87,0.888,0.895,0.876,0.878,0.877,0.887,0.888,0.891,0.889,0.895,0.889,0.898,0.902,0.906,0.911,0.906,0.911,0.916,0.916,0.92,0.92,0.923,0.926,0.93,0.952,0.957,0.932,0.937,0.964,0.941,0.946,0.943,0.945,0.948,0.944,0.95,0.976,
E07,0.178,0.167,0.164,0.166,0.172,0.182,0.196,0.21,0.23,0.255,0.281,0.317,0.348,0.39,0.432,0.478,0.516,0.56,0.577,0.588,0.6,0.605,0.61,0.612,0.618,0.616,0.618,0.622,0.623,0.628,0.63,0.631,0.637,0.633,0.638,0.638,0.643,0.644,0.647,0.647,0.649,0.652,0.654,0.657,0.66,0.663,0.666,0.667,0.672,0.675,0.677,0.681,0.686,0.691,0.693,0.699,0.699,0.708,0.708,0.714,0.721,0.718,0.724,0.727,0.733,0.735,0.736,0.736,0.741,0.749,0.748,0.75,0.762,0.764,0.77,0.775,0.763,0.77,0.772,0.78,0.781,0.782,0.784,0.785,0.791,0.796,0.802,0.81,0.807,0.81,0.812,0.818,0.819,0.824,0.823,0.828,0.827,0.831,0.836,0.838,0.84,0.835,0.843,0.847,0.849,0.848,0.846,0.853,0.852,0.856,0.867,0.867,0.867,0.868,0.876,0.874,0.879,0.879,0.882,0.88,0.887,0.885,0.892,
